RECORDER -----> 00:1a:79:74:b7:66 | 10.30.15.239 | 27/4/2023 21:30:0 | STATUS_START_RECORD /media/USB-E0D55E6CE787F560A94D2380-1/11087_SportsCenter_With_Scott_Van_Pelt_undefined.ts
RECORDER -----> 00:1a:79:74:b7:66 | 10.30.15.239 | 27/4/2023 22:0:0 | STATUS_END_RECORD false
RECORDER -----> 00:1a:79:74:b7:66 | 10.30.15.239 | 27/4/2023 22:0:0 | STATUS_END_RECORD /media/USB-E0D55E6CE787F560A94D2380-1/11079_NHL_Hockey_undefined.ts
RECORDER -----> 00:1a:79:74:b7:66 | 10.30.15.239 | 27/4/2023 22:0:0 | STATUS_START_RECORD /media/USB-E0D55E6CE787F560A94D2380-1/11088_Hey_Rookie_Welcome_to_the_NFL_undefined.ts
RECORDER -----> 00:1a:79:74:b7:66 | 10.30.15.239 | 27/4/2023 22:30:0 | STATUS_START_RECORD /media/USB-E0D55E6CE787F560A94D2380-1/11089_Hey_Rookie_Welcome_to_the_NFL_undefined.ts
RECORDER -----> 00:1a:79:74:b7:66 | 10.30.15.239 | 27/4/2023 22:30:0 | STATUS_START_RECORD /media/USB-E0D55E6CE787F560A94D2380-1/11076_The_List_undefined.ts
RECORDER -----> 00:1a:79:74:b7:66 | 10.30.15.239 | 27/4/2023 22:30:0 | STATUS_END_RECORD false
RECORDER -----> 00:1a:79:74:b7:66 | 10.30.15.239 | 27/4/2023 22:30:0 | STATUS_END_RECORD /media/USB-E0D55E6CE787F560A94D2380-1/11088_Hey_Rookie_Welcome_to_the_NFL_undefined.ts
RECORDER -----> 00:1a:79:74:b7:66 | 10.30.15.239 | 27/4/2023 22:54:56 | STATUS_ERROR_RECORD -10
RECORDER -----> 00:1a:79:74:b7:66 | 10.30.15.239 | 27/4/2023 22:54:58 | STATUS_START_RECORD /media/USB-E0D55E6CE787F560A94D2380-1/11076_The_List_undefined.ts1
RECORDER -----> 00:1a:79:74:b7:66 | 10.30.15.239 | 27/4/2023 23:0:0 | STATUS_END_RECORD /media/USB-E0D55E6CE787F560A94D2380-1/11089_Hey_Rookie_Welcome_to_the_NFL_undefined.ts
s
RECORDER -----> 00:1a:79:74:b7:66 | 10.30.15.239 | 27/4/2023 23:0:0 | STATUS_END_RECORD false
RECORDER -----> 00:1a:79:74:b7:66 | 10.30.15.239 | 27/4/2023 23:0:7 | STATUS_END_RECORD 1
RECORDER -----> 00:1a:79:74:b7:66 | 10.30.15.239 | 27/4/2023 23:0:7 | STATUS_END_RECORD /media/USB-E0D55E6CE787F560A94D2380-1/11076_The_List_undefined.ts1
RECORDER -----> 00:1a:79:74:b7:66 | 10.30.15.239 | 27/4/2023 23:0:7 | STATUS_END_RECORD false
RECORDER -----> 00:1a:79:74:b7:66 | 10.30.15.239 | 27/4/2023 23:0:7 | STATUS_END_RECORD /media/USB-E0D55E6CE787F560A94D2380-1/11087_SportsCenter_With_Scott_Van_Pelt_undefined.ts
RECORDER -----> 00:1a:79:74:b7:66 | 10.30.15.239 | 27/4/2023 23:30:0 | STATUS_END_RECORD false
RECORDER -----> 00:1a:79:74:b7:66 | 10.30.15.239 | 27/4/2023 23:30:0 | STATUS_END_RECORD /media/USB-E0D55E6CE787F560A94D2380-1/11090_Hey_Rookie_Welcome_to_the_NFL_undefined.ts
MULTICAST -----> 00:1a:79:6d:d2:99 | 10.30.15.129 | 28/4/2023 0:1:23 | INFORMATION_RECEIVED udp://@225.1.1.129:2001
MULTICAST -----> 00:1a:79:6d:d2:99 | 10.30.15.129 | 28/4/2023 0:1:23 | STATUS_PLAYING udp://@225.1.1.129:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 28/4/2023 0:1:39 | INFORMATION_RECEIVED udp://@225.1.1.145:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 28/4/2023 0:1:39 | STATUS_PLAYING udp://@225.1.1.145:2001
RECORDER -----> 00:1a:79:6d:d1:a3 | 10.30.11.241 | 28/4/2023 10:52:40 | STATUS_START_RECORD /media/USB-0401db78d701c046e95deca0812d65b8336c011bb822952e4a1dba7eadb4805f7ea500000000000000000000a4b7de0900836d18a355810715ac22c1-1/11094_The_Herd_with_Colin_Cowherd_undefined.ts
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 28/4/2023 11:37:30 | STATUS_PLAYING udp://@225.1.1.120:2001
:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 28/4/2023 11:37:33 | INFORMATION_RECEIVED udp://@225.1.1.90:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 28/4/2023 11:37:33 | STATUS_PLAYING udp://@225.1.1.90:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 28/4/2023 11:37:34 | INFORMATION_RECEIVED udp://@225.1.1.120:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 28/4/2023 11:37:34 | STATUS_PLAYING udp://@225.1.1.120:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 28/4/2023 11:37:38 | INFORMATION_RECEIVED udp://@225.1.1.90:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 28/4/2023 11:37:38 | STATUS_PLAYING udp://@225.1.1.90:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 28/4/2023 11:37:40 | INFORMATION_RECEIVED udp://@225.1.1.222:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 28/4/2023 11:37:40 | STATUS_PLAYING udp://@225.1.1.222:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 28/4/2023 11:37:42 | INFORMATION_RECEIVED udp://@225.1.1.90:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 28/4/2023 11:37:42 | STATUS_PLAYING udp://@225.1.1.90:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 28/4/2023 11:37:43 | INFORMATION_RECEIVED udp://@225.1.1.120:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 28/4/2023 11:37:44 | STATUS_PLAYING udp://@225.1.1.120:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 28/4/2023 11:37:53 | INFORMATION_RECEIVED udp://@225.1.1.120:2001
